Vict Age,num
-9,2
-8,6
-7,14
-6,14
-5,27
-4,27
-3,65
-2,90
-1,151
0,206272
2,609
3,743
4,913
5,1074
6,1109
7,1201
8,1274
9,1503
10,1607
11,2210
12,3108
13,4016
14,5725
15,6636
16,7400
17,8730
18,11814
19,13498
20,16270
21,18344
22,20314
23,22590
24,24021
25,25212
26,25245
27,25090
28,24899
29,24540
30,24242
31,23203
32,22478
33,21931
34,21886
35,23046
36,20123
37,19436
38,18775
39,18130
40,17910
41,17023
42,16339
43,15885
44,15884
45,16021
46,16034
47,16084
48,15711
49,14982
50,16734
51,14400
52,14336
53,13891
54,13495
55,12880
56,12620
57,12015
58,11103
59,10822
60,10201
61,9301
62,8689
63,7857
64,7310
65,6585
66,6144
67,5528
68,4934
69,4684
70,4100
71,3720
72,3341
73,2821
74,2662
75,2493
76,2197
77,1985
78,1820
79,1639
80,1458
81,1300
82,1124
83,1031
84,874
85,800
86,725
87,583
88,570
89,474
90,422
91,327
92,265
93,239
94,186
95,150
96,113
97,104
98,80
99,480
118,1